epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,355.06,0.2762,0.24548,0.84757,0.98871,1,0.995,0.97401,0.26154,0.22032,0.83407,0.000255592,0.000255592,0.000255592
88,359.105,0.30441,0.25082,0.82453,0.99903,1,0.995,0.97204,0.2562,0.20794,0.83276,0.000241338,0.000241338,0.000241338
89,363.03,0.31762,0.26009,0.81056,0.99903,1,0.995,0.97204,0.2562,0.20794,0.83276,0.000226688,0.000226688,0.000226688
90,366.96,0.27818,0.25181,0.81582,0.99903,1,0.995,0.97204,0.2562,0.20794,0.83276,0.000211642,0.000211642,0.000211642
91,370.86,0.25869,0.24928,0.78799,0.99903,1,0.995,0.97204,0.2562,0.20794,0.83276,0.0001962,0.0001962,0.0001962
92,374.766,0.27211,0.25456,0.76942,0.99941,1,0.995,0.96646,0.26225,0.20839,0.83456,0.000180362,0.000180362,0.000180362
93,378.767,0.26545,0.23598,0.80298,0.99941,1,0.995,0.96646,0.26225,0.20839,0.83456,0.000164128,0.000164128,0.000164128
94,382.63,0.25714,0.23126,0.79442,0.99941,1,0.995,0.96646,0.26225,0.20839,0.83456,0.000147498,0.000147498,0.000147498
95,386.68,0.2608,0.23642,0.78823,0.99941,1,0.995,0.96646,0.26225,0.20839,0.83456,0.000130472,0.000130472,0.000130472
96,390.978,0.25255,0.22185,0.7851,0.9994,1,0.995,0.95877,0.27006,0.20521,0.83565,0.00011305,0.00011305,0.00011305
97,395.375,0.26767,0.22198,0.82288,0.9994,1,0.995,0.95877,0.27006,0.20521,0.83565,9.5232e-05,9.5232e-05,9.5232e-05
98,399.35,0.25063,0.22678,0.77858,0.9994,1,0.995,0.95877,0.27006,0.20521,0.83565,7.7018e-05,7.7018e-05,7.7018e-05
99,403.304,0.26619,0.21713,0.75001,0.9994,1,0.995,0.95877,0.27006,0.20521,0.83565,5.8408e-05,5.8408e-05,5.8408e-05
100,407.188,0.2895,0.25225,0.81463,0.9994,1,0.995,0.96136,0.2665,0.20287,0.83377,3.9402e-05,3.9402e-05,3.9402e-05
